year,type,discipline,event,noc,medal
1924,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1924,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Silver
1912,Summer,Tennis,"Doubles, Mixed (Olympic)",FRA,Bronze
1912,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
2000,Summer,Table Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1924,Summer,Tennis,"Singles, Men (Olympic)",FRA,Silver
1900,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1900,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Silver
1920,Summer,Tennis,"Doubles, Mixed (Olympic)",FRA,Gold
1920,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1992,Summer,Table Tennis,"Singles, Men (Olympic)",FRA,Silver
1912,Summer,Tennis,"Doubles, Covered Courts, Men (Olympic)",FRA,Gold
1912,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",FRA,Gold
1912,Summer,Tennis,"Doubles, Covered Courts, Mixed (Olympic)",GBR,Silver
1920,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Silver
1924,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Bronze
1900,Summer,Tennis,"Singles, Women (Olympic)",GBR,Gold
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Gold
1924,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Gold
1908,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Silver
1912,Summer,Tennis,"Doubles, Covered Courts, Mixed (Olympic)",GBR,Gold
1912,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Gold
1920,Summer,Tennis,"Singles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Gold
1920,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
1920,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Silver
1920,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Gold
1924,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
1912,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
2000,Summer,Badminton,"Doubles, Mixed (Olympic)",GBR,Bronze
